App,Category,Rating,Reviews,Size,Installs,Free,Price,Content Rating,Genres_1,Genres_2,Last Updated,Current Ver,Android Ver
My Little Princess : Stores,FAMILY,4,169,60000000,5000,False,2.99,Everyone,Educational,Pretend Play,2018-05-25,1.08,4.1
Sago Mini Big City,FAMILY,4,8,44000000,1000,False,3.99,Everyone,Education,Pretend Play,2018-09-07,1.1,4.4
Pinkalicious Party,FAMILY,3,2,82000000,500,False,2.99,Everyone,Educational,Creativity,2018-06-25,1.5.0,4.1
ROBLOX,FAMILY,4,4450855,67000000,100000000,True,0.0,Everyone 10+,Adventure,Action & Adventure,2018-07-31,2.347.225742,4.1
PJ Masks: Moonlight Heroes,FAMILY,4,86961,99000000,10000000,True,0.0,Everyone,Casual,Action & Adventure,2018-05-06,2.0.1,4.0.3
Dog Run - Pet Dog Simulator,FAMILY,4,48701,24000000,10000000,True,0.0,Everyone,Simulation,Action & Adventure,2018-05-22,1.4.12,4.1
Moana Island Life,FAMILY,4,15246,78000000,1000000,True,0.0,Everyone,Simulation,Action & Adventure,2017-12-07,3.2.473.202,4.0
Farming Simulator 14,FAMILY,4,530904,51000000,10000000,True,0.0,Everyone,Simulation,Action & Adventure,2017-07-17,1.4.4,2.3.3
My Oasis - Calming and Relaxing Idle Clicker Game,FAMILY,4,106750,94000000,1000000,True,0.0,Everyone,Simulation,Action & Adventure,2018-06-29,1.221,4.1
My Little Pony Rainbow Runners,FAMILY,4,33785,16000000,5000000,True,0.0,Everyone,Casual,Action & Adventure,2017-12-20,1.3,4.1
Extreme Racing 2 - Real driving RC cars game!,FAMILY,4,4207,93000000,500000,True,0.0,Everyone,Racing,Action & Adventure,2017-08-31,1.1.9,4.1
Cars: Lightning League,FAMILY,4,58795,77000000,10000000,True,0.0,Everyone,Racing,Action & Adventure,2018-05-21,1.6,4.0.3
Little Panda Run,FAMILY,4,3235,32000000,1000000,True,0.0,Everyone,Educational,Action & Adventure,2018-06-20,8.25.10.00,4.0.3
Snoopy's Town Tale - City Building Simulator,FAMILY,4,47031,58000000,1000000,True,0.0,Everyone,Simulation,Action & Adventure,2018-07-30,3.2.4,4.4
Car Racing game for Kids - Beepzz Dogs 🐕,FAMILY,4,131,48000000,100000,True,0.0,Everyone,Racing,Action & Adventure,2018-06-13,1.1.1,4.2
Pony Friends 🦄 - Beepzz racing game for kids,FAMILY,4,114,69000000,50000,True,0.0,Everyone,Racing,Action & Adventure,2018-06-13,1.4.3,4.2
LEGO® Juniors Create & Cruise,FAMILY,4,673203,73000000,50000000,True,0.0,Everyone,Educational,Action & Adventure,2018-01-19,6.7.5222,4.1
Xtreme Racing 2018 - Jeep & 4x4 off road simulator,FAMILY,4,2178,99000000,500000,True,0.0,Everyone,Racing,Action & Adventure,2017-08-23,1.0.8,4.1
Thomas & Friends: Go Go Thomas,FAMILY,4,175625,16000000,10000000,True,0.0,Everyone,Racing,Action & Adventure,2017-11-22,1.4,4.1
Ninja Dash - Ronin Jump RPG,FAMILY,4,8508,54000000,500000,True,0.0,Everyone 10+,Arcade,Action & Adventure,2018-02-08,1.1.23,4.0.3
Paw Patrol by ShuffleCards,FAMILY,4,3484,56000000,1000000,True,0.0,Everyone,Entertainment,Action & Adventure,2017-07-03,1.0.1,4.0
Plants vs. Zombies™ Heroes,FAMILY,4,379415,68000000,10000000,True,0.0,Everyone,Casual,Action & Adventure,2018-06-26,1.28.01,4.1
Transformers Rescue Bots: Disaster Dash,FAMILY,4,19245,25000000,1000000,True,0.0,Everyone,Casual,Action & Adventure,2018-03-28,1.3,4.1
PAC-MAN Pop,FAMILY,4,24877,54000000,5000000,True,0.0,Everyone,Puzzle,Action & Adventure,2018-06-20,2.1.6579,4.1
Monster Truck Driver & Racing,FAMILY,4,765,51000000,1000000,True,0.0,Everyone,Education,Action & Adventure,2017-01-19,1.0.9,2.3
Strawberry Shortcake BerryRush,FAMILY,4,525552,48000000,10000000,True,0.0,Everyone,Action,Action & Adventure,2017-10-15,1.2.3,2.3
Little Fire Station,FAMILY,4,3762,44000000,1000000,True,0.0,Everyone,Education,Action & Adventure,2018-02-07,1.47,4.3
Ice Cream Jump,FAMILY,4,141363,8700000,10000000,True,0.0,Everyone,Casual,Action & Adventure,2018-01-21,1.20.2,2.3
Disney Magic Kingdoms: Build Your Own Magical Park,FAMILY,4,472584,91000000,10000000,True,0.0,Everyone,Simulation,Action & Adventure,2018-02-08,3.2.0h,4.0.3
Turbo FAST,FAMILY,4,1329192,97000000,50000000,True,0.0,Everyone,Racing,Action & Adventure,2017-04-10,2.1.20,2.3.3
My Little Pony: Harmony Quest,FAMILY,4,148295,26000000,10000000,True,0.0,Everyone,Casual,Action & Adventure,2018-05-03,1.6,4.1
Transformers Rescue Bots: Hero Adventures,FAMILY,4,41273,16000000,5000000,True,0.0,Everyone,Adventure,Action & Adventure,2018-05-07,1.5,4.1
Equestria Girls,FAMILY,4,392596,53000000,10000000,True,0.0,Everyone,Role Playing,Action & Adventure,2016-07-22,37893,4.0
DC Super Hero Girls™,FAMILY,4,43060,95000000,5000000,True,0.0,Everyone,Action,Action & Adventure,2018-06-29,2.8.0,4.0
Disney Crossy Road,FAMILY,4,514088,83000000,10000000,True,0.0,Everyone,Arcade,Action & Adventure,2018-05-30,3.200.18289,4.4
Touch Racing 2 - Mini RC Race,FAMILY,4,41867,78000000,1000000,True,0.0,Everyone,Racing,Action & Adventure,2017-05-18,1.4.2.1,2.3.3
Toca Kitchen 2,FAMILY,4,1014846,56000000,50000000,True,0.0,Everyone,Educational,Pretend Play,2017-06-29,1.2.3-play,4.1
Doctor Pets,FAMILY,4,23060,21000000,1000000,True,0.0,Everyone,Educational,Education,2018-07-26,1.19,4.1
Supermarket – Game for Kids,FAMILY,4,112080,26000000,10000000,True,0.0,Everyone,Casual,Pretend Play,2018-07-26,1.24,4.1
Supermarket Manager: Cashier Simulator Kids Games,FAMILY,4,15489,60000000,1000000,True,0.0,Everyone,Casual,Pretend Play,2017-11-10,2.4.9,4.0
Kids Animals Jigsaw Puzzles 😄,FAMILY,4,51895,22000000,10000000,True,0.0,Everyone,Educational,Brain Games,2018-06-16,18.1,4.2
DC Super Hero Girls™,FAMILY,4,43060,95000000,5000000,True,0.0,Everyone,Action,Action & Adventure,2018-06-29,2.8.0,4.0
Strawberry Shortcake BerryRush,FAMILY,4,525552,48000000,10000000,True,0.0,Everyone,Action,Action & Adventure,2017-10-15,1.2.3,2.3
Inside Out Thought Bubbles,FAMILY,4,623398,58000000,10000000,True,0.0,Everyone,Puzzle,Brain Games,2017-08-31,1.22.0,4.0.3
Disney Magic Kingdoms: Build Your Own Magical Park,FAMILY,4,472584,91000000,10000000,True,0.0,Everyone,Simulation,Action & Adventure,2018-02-08,3.2.0h,4.0.3
Monster High™,FAMILY,4,66661,22000000,5000000,True,0.0,Everyone,Casual,Pretend Play,2018-02-02,5.2,4.1
Cute Pet Puppies,FAMILY,4,10447,36000000,1000000,True,0.0,Everyone,Simulation,Action & Adventure,2016-02-18,1.0.4,2.3
Frozen Free Fall,FAMILY,4,1574197,37000000,50000000,True,0.0,Everyone,Puzzle,Action & Adventure,2018-07-27,6.7.0,4.2
Monster High™ Minis Mania,FAMILY,4,19170,70000000,1000000,True,0.0,Everyone,Strategy,Action & Adventure,2017-03-15,1.4.2,4.0.3
Shopkins World!,FAMILY,4,169609,34000000,10000000,True,0.0,Everyone,Arcade,Action & Adventure,2018-06-13,3.6.1,4.1
Monica Toy TV,FAMILY,4,6188,49000000,500000,True,0.0,Everyone 10+,Entertainment,Music & Video,2018-03-04,1.6.4,4.1
Toy Guitar with songs for kids,FAMILY,4,1369,9800000,500000,True,0.0,Everyone,Music & Audio,Music & Video,2016-05-03,1.0.3,2.3
Endless Numbers,FAMILY,4,2952,37000000,500000,True,0.0,Everyone,Education,Education,2018-06-19,1.2.0,5.1
Sworkit Kids - Fitness Meets Fun,FAMILY,4,9856,55000000,100000,True,0.0,Everyone,Health & Fitness,Education,2016-02-02,1.1.1,4.0
Earth to Luna! Watch and Play,FAMILY,3,10753,84000000,1000000,True,0.0,Everyone,Educational,Education,2018-07-23,2.5.6,4.1
Nancy Drew Codes and Clues,FAMILY,4,154,16000000,10000,True,0.0,Everyone,Educational,Education,2017-01-13,2.0.0,4.1
Masha and the Bear Child Games,FAMILY,4,288523,92000000,10000000,True,0.0,Everyone,Adventure,Education,2018-08-05,2.7.4,4.0
codeSpark Academy & The Foos,FAMILY,4,4522,57000000,500000,True,0.0,Everyone,Educational,Education,2018-06-21,2.19.01,4.1
Toca Life: City,FAMILY,4,31100,24000000,500000,False,3.99,Everyone,Education,Pretend Play,2018-06-07,1.5-play,4.4
My Little Work – Garage,FAMILY,4,560,44000000,10000,False,3.99,Everyone,Casual,Education,2015-06-17,2.0.1,2.3
"Alizay, pirate girl",FAMILY,4,197,11000000,1000,False,2.99,Everyone,Casual,Action & Adventure,2017-03-23,4.0.2,2.3
Word Search Games in english,FAMILY,4,63186,16000000,10000000,True,0.0,Everyone,Puzzle,Brain Games,2018-12-07,7.5,4.0.3
Chess Free,FAMILY,4,23772,17000000,5000000,True,0.0,Everyone,Board,Brain Games,2017-02-08,1.15.3028.0,2.3
Tic Tac Toe,FAMILY,4,6007,18000000,1000000,True,0.0,Everyone,Board,Action & Adventure,2017-03-07,1.6.3028.0,2.3
Dominos Game ✔️,FAMILY,4,2903,16000000,1000000,True,0.0,Everyone,Board,Brain Games,2018-05-07,5.2,4.1
Checkers ✔️,FAMILY,4,3617,19000000,1000000,True,0.0,Everyone,Board,Brain Games,2018-07-24,4.0.2,4.1
Crazy Colors: Bubbles Matching,FAMILY,4,3063,1600000,100000,True,0.0,Everyone,Board,Brain Games,2018-05-24,2.9.7,3.0
Chess for Kids - Play & Learn,FAMILY,4,3234,47000000,100000,True,0.0,Everyone,Puzzle,Brain Games,2018-05-15,2.2.3,4.1
Block Puzzle : Night in Egypt,FAMILY,4,276,16000000,50000,True,0.0,Everyone,Puzzle,Brain Games,2017-12-09,1.2.16,2.3
Mosaic puzzles,FAMILY,4,1595,14000000,500000,True,0.0,Everyone,Puzzle,Brain Games,2018-04-07,2.8,4.0.3
RISK: Global Domination,FAMILY,4,68559,75000000,5000000,True,0.0,Everyone,Board,Action & Adventure,2018-07-31,1.19.56.434,4.4
Pino chess,FAMILY,4,61,25000000,1000,True,0.0,Everyone,Casual,Brain Games,2017-01-26,0.1.0,4.0
Chess PRO Free,FAMILY,3,1123,5700000,100000,True,0.0,Everyone,Board,Brain Games,2016-08-09,4.2,2.3
All-in-One Mahjong 3 FREE,FAMILY,4,566,17000000,50000,True,0.0,Everyone,Board,Brain Games,2018-06-13,20180609,4.0
Hactar Go,FAMILY,4,97,3500000,1000,False,2.99,Everyone,Board,Brain Games,2018-03-30,2.4.15,4.0
All-in-One Mahjong 3,FAMILY,4,38,16000000,100,False,0.99,Everyone,Board,Brain Games,2018-06-14,20180609,4.0
World Racers family board game,FAMILY,4,4,42000000,100,False,0.99,Everyone,Board,Pretend Play,2015-03-09,1.1,5.1
SweetLand — Family Board Game,FAMILY,4,38,47000000,1000,False,0.99,Everyone,Casual,Pretend Play,2014-11-14,1.2,2.3.3
Steam: Rails to Riches,FAMILY,4,214,67000000,5000,False,4.99,Everyone,Board,Brain Games,2017-12-13,3.3.1,4.1
Whoowasit? - Best kids game!,FAMILY,4,248,26000000,5000,False,2.99,Everyone,Board,Action & Adventure,2018-07-24,1.6,4.1
Lanterns: The Harvest Festival,FAMILY,4,185,72000000,1000,False,4.99,Everyone,Board,Brain Games,2018-01-05,1.16.5,4.1
Tsuro - The Game of the Path,FAMILY,4,2195,37000000,10000,False,2.99,Everyone,Board,Brain Games,2016-02-08,1.3.3,2.3
THE aMAZEing Labyrinth,FAMILY,3,1615,1200000,10000,False,4.99,Everyone,Board,Brain Games,2016-09-02,1.0.3,4.0
Chess and Mate,FAMILY,4,359,17000000,5000,False,4.99,Everyone,Board,Brain Games,2015-12-08,2.0.5,2.3
Kids Balloon Pop Game Free 🎈,FAMILY,4,38021,19000000,10000000,True,0.0,Everyone,Casual,Music & Video,2018-06-07,18.2,4.0.3
Sounds for Toddlers FREE,FAMILY,4,6190,23000000,1000000,True,0.0,Everyone,Educational,Education,2015-08-24,1.7.1,4.0
Elmo Calls by Sesame Street,FAMILY,3,6903,25000000,1000000,True,0.0,Everyone,Educational,Pretend Play,2018-01-31,2.0.7,2.3
Sago Mini Friends,FAMILY,4,13155,83000000,1000000,True,0.0,Everyone,Education,Pretend Play,2016-06-16,1.3,4.0.3
Papumba Academy - Fun Learning For Kids,FAMILY,4,496,94000000,100000,True,0.0,Everyone,Education,Education,2018-11-07,1.0,4.2
Tee and Mo Bath Time Free,FAMILY,3,418,97000000,100000,True,0.0,Everyone,Educational,Education,2016-07-11,1.0.3,4.0.3
Bita and the Animals - Pelos Ares,FAMILY,4,1160,37000000,100000,True,0.0,Everyone,Education,Music & Video,2013-05-22,1.0,2.2
TO-FU Oh!SUSHI,FAMILY,4,59917,92000000,5000000,True,0.0,Everyone,Education,Pretend Play,2018-07-31,2.3,4.4
DreamWorks Friends,FAMILY,3,1042,48000000,100000,True,0.0,Everyone,Role Playing,Pretend Play,2017-04-08,2.5,4.3
Avokiddo Emotions,FAMILY,4,73,12000000,1000,False,2.99,Everyone,Education,Pretend Play,2018-05-21,1.7.0,4.0.3
Nighty Night Circus,FAMILY,4,382,15000000,10000,False,2.99,Everyone,Education,Action & Adventure,2017-07-03,2.6,2.3
Sago Mini Babies,FAMILY,4,253,83000000,10000,False,3.99,Everyone,Education,Pretend Play,2016-10-28,1.1,4.0.3
Dr. Panda & Toto's Treehouse,FAMILY,4,3396,9500000,50000,False,3.99,Everyone,Casual,Pretend Play,2014-09-12,1.8,4.0
Kids Balloon Pop Game Free 🎈,FAMILY,4,38021,19000000,10000000,True,0.0,Everyone,Casual,Music & Video,2018-06-07,18.2,4.0.3
Sounds for Toddlers FREE,FAMILY,4,6190,23000000,1000000,True,0.0,Everyone,Educational,Education,2015-08-24,1.7.1,4.0
Elmo Calls by Sesame Street,FAMILY,3,6903,25000000,1000000,True,0.0,Everyone,Educational,Pretend Play,2018-01-31,2.0.7,2.3
Sago Mini Friends,FAMILY,4,13155,83000000,1000000,True,0.0,Everyone,Education,Pretend Play,2016-06-16,1.3,4.0.3
Papumba Academy - Fun Learning For Kids,FAMILY,4,496,94000000,100000,True,0.0,Everyone,Education,Education,2018-11-07,1.0,4.2
Tee and Mo Bath Time Free,FAMILY,3,418,97000000,100000,True,0.0,Everyone,Educational,Education,2016-07-11,1.0.3,4.0.3
Bita and the Animals - Pelos Ares,FAMILY,4,1160,37000000,100000,True,0.0,Everyone,Education,Music & Video,2013-05-22,1.0,2.2
TO-FU Oh!SUSHI,FAMILY,4,59917,92000000,5000000,True,0.0,Everyone,Education,Pretend Play,2018-07-31,2.3,4.4
DreamWorks Friends,FAMILY,3,1042,48000000,100000,True,0.0,Everyone,Role Playing,Pretend Play,2017-04-08,2.5,4.3
Avokiddo Emotions,FAMILY,4,73,12000000,1000,False,2.99,Everyone,Education,Pretend Play,2018-05-21,1.7.0,4.0.3
Nighty Night Circus,FAMILY,4,382,15000000,10000,False,2.99,Everyone,Education,Action & Adventure,2017-07-03,2.6,2.3
Sago Mini Babies,FAMILY,4,253,83000000,10000,False,3.99,Everyone,Education,Pretend Play,2016-10-28,1.1,4.0.3
Dr. Panda & Toto's Treehouse,FAMILY,4,3396,9500000,50000,False,3.99,Everyone,Casual,Pretend Play,2014-09-12,1.8,4.0
ROBLOX,FAMILY,4,4450890,67000000,100000000,True,0.0,Everyone 10+,Adventure,Action & Adventure,2018-07-31,2.347.225742,4.1
Barbie Life™,FAMILY,3,133117,63000000,5000000,True,0.0,Everyone,Casual,Pretend Play,2018-12-07,2.6,4.1
Baby Panda Care,FAMILY,4,108795,49000000,10000000,True,0.0,Everyone,Educational,Pretend Play,2018-06-15,8.25.10.00,4.0.3
Palace Pets in Whisker Haven,FAMILY,4,47213,14000000,5000000,True,0.0,Everyone,Entertainment,Pretend Play,2017-09-12,1.8,4.2
Sweet Baby Girl - Dream House and Play Time,FAMILY,3,95537,58000000,10000000,True,0.0,Everyone,Educational,Education,2018-07-13,2.2.54,4.4
Monster High™,FAMILY,4,66660,22000000,5000000,True,0.0,Everyone,Casual,Pretend Play,2018-02-02,5.2,4.1
Hello Kitty Lunchbox,FAMILY,4,51838,15000000,5000000,True,0.0,Everyone,Casual,Creativity,2017-11-21,1.6,4.1
Sweet Baby Girl Newborn Baby,FAMILY,3,36028,50000000,5000000,True,0.0,Everyone,Educational,Education,2018-02-07,1.3.51,4.4
COOKING MAMA Let's Cook!,FAMILY,4,528745,59000000,10000000,True,0.0,Everyone,Educational,Pretend Play,2018-07-26,1.38.0,4.1
Shopkins World!,FAMILY,4,169609,34000000,10000000,True,0.0,Everyone,Arcade,Action & Adventure,2018-06-13,3.6.1,4.1
Ever After High™ Charmed Style,FAMILY,3,44062,54000000,1000000,True,0.0,Everyone,Casual,Pretend Play,2016-12-30,1.3,4.0.3
Equestria Girls,FAMILY,4,392596,53000000,10000000,True,0.0,Everyone,Role Playing,Action & Adventure,2016-07-22,37893,4.0
Frozen Free Fall,FAMILY,4,1574204,37000000,50000000,True,0.0,Everyone,Puzzle,Action & Adventure,2018-07-27,6.7.0,4.2
Nick,FAMILY,4,123322,25000000,10000000,True,0.0,Everyone 10+,Entertainment,Music & Video,2018-01-24,2.0.8,4.4
Thomas & Friends: Race On!,FAMILY,4,29319,26000000,5000000,True,0.0,Everyone,Casual,Action & Adventure,2018-05-18,2.4,4.4
Mad Libs,FAMILY,4,8126,61000000,1000000,True,0.0,Everyone,Entertainment,Brain Games,2018-07-31,1.1.1,6.0
Inside Out Thought Bubbles,FAMILY,4,623398,58000000,10000000,True,0.0,Everyone,Puzzle,Brain Games,2017-08-31,1.22.0,4.0.3
ABCmouse.com,FAMILY,4,50887,91000000,5000000,True,0.0,Everyone,Education,Education,2018-03-07,7.2.0,4.4
My Little Pony Celebration,FAMILY,4,63160,17000000,1000000,True,0.0,Everyone,Simulation,Pretend Play,2016-07-22,1.0.0,2.3
Sago Mini Friends,FAMILY,4,13155,83000000,1000000,True,0.0,Everyone,Education,Pretend Play,2016-06-16,1.3,4.0.3
Thomas & Friends: Delivery,FAMILY,4,28737,17000000,1000000,True,0.0,Everyone,Casual,Action & Adventure,2016-05-02,1.0,2.3
Nasty Goats,FAMILY,4,45579,64000000,1000000,True,0.0,Everyone,Arcade,Action & Adventure,2016-04-14,1.1.0,4.0
Starfall Free & Member,FAMILY,4,19720,41000000,1000000,True,0.0,Everyone,Education,Education,2017-07-11,1.35.23,4.0
Animal Jam - Play Wild!,FAMILY,4,361970,58000000,5000000,True,0.0,Everyone,Casual,Pretend Play,2018-02-08,28.0.14,4.1
Video Editor,FAMILY,4,159619,23000000,5000000,True,0.0,Everyone,Video Players & Editors,Creativity,2018-07-17,6.14.091,4.3
Real Racing 3,FAMILY,4,354384,71000000,10000000,True,0.0,Everyone,Racing,Action & Adventure,2018-02-07,6.4.0,4.1
Card Wars - Adventure Time,FAMILY,4,129603,23000000,1000000,False,2.99,Everyone 10+,Card,Action & Adventure,2016-11-02,1.11.0,2.3.3
Monash Uni Low FODMAP Diet,MEDICAL,4,1135,12000000,100000,False,9.0,Everyone,Medical,nan,2018-07-16,2.0.7,4.0
iBP Blood Pressure,MEDICAL,4,578,704000,10000,False,0.99,Everyone,Medical,nan,2014-11-30,7.0.1,2.2
Pedi STAT,MEDICAL,4,129,2900000,10000,False,5.49,Everyone,Medical,nan,2018-06-04,3.0.1.0,4.1
ASCCP Mobile,MEDICAL,4,63,25000000,10000,False,9.99,Everyone,Medical,nan,2016-03-10,2.1.1,2.2
Paramedic Protocol Provider,MEDICAL,4,171,20000000,10000,False,10.0,Everyone 10+,Medical,nan,2017-09-21,1.8.3,4.1
MommyMeds,MEDICAL,3,45,21000000,5000,False,3.99,Everyone,Medical,nan,2017-11-15,2.0.1,6.0
Medical ID - In Case of Emergency (ICE),MEDICAL,4,717,5400000,5000,False,5.99,Everyone,Medical,nan,2018-05-31,6.5.0,5.0
Human Anatomy Atlas 2018: Complete 3D Human Body,MEDICAL,4,2921,25000000,100000,False,24.99,Everyone,Medical,nan,2018-05-25,2018.5.47,5.0
Essential Anatomy 3,MEDICAL,4,1533,42000000,50000,False,11.99,Mature 17+,Medical,nan,2014-07-08,1.1.3,4.0.3
Vargo Anesthesia Mega App,MEDICAL,4,92,32000000,1000,False,79.99,Everyone,Medical,nan,2018-06-18,19.0,4.0.3
EMT Review Plus,MEDICAL,4,199,1800000,10000,False,11.99,Everyone,Medical,nan,2018-06-27,3.0.5,4.4W
Muscle Trigger Point Anatomy,MEDICAL,4,1361,33000000,50000,False,2.99,Everyone,Medical,nan,2018-07-17,2.4.4,4.0.3
2017 EMRA Antibiotic Guide,MEDICAL,4,12,3800000,1000,False,16.99,Everyone,Medical,nan,2017-01-27,1.0.5,4.0.3
ASRA Coags,MEDICAL,4,15,5800000,1000,False,3.99,Everyone,Medical,nan,2018-01-08,2.1,4.1
IBM Micromedex Drug Info,MEDICAL,3,206,9500000,10000,False,2.99,Everyone,Medical,nan,2018-04-25,1.17.0,4.0
Diabetes & Diet Tracker,MEDICAL,4,395,19000000,1000,False,9.99,Everyone,Medical,nan,2018-07-16,6.5.1,5.0
Block Buddy,MEDICAL,4,15,5000000,1000,False,14.99,Everyone,Medical,nan,2018-01-08,7.6.14,4.0
Super Hearing Secret Voices Recorder PRO,MEDICAL,5,3,23000000,100,False,2.99,Everyone,Medical,nan,2018-04-20,1.0,4.1
EMT Study - NREMT Test Prep,MEDICAL,4,35,862000,5000,False,3.99,Everyone,Medical,nan,2014-03-12,1.1,4.0.3
Calcium Pro,MEDICAL,3,77,9900000,5000,False,2.99,Everyone,Medical,nan,2017-04-18,1.6.2,4.0.3
EMT PASS,MEDICAL,3,51,2400000,1000,False,29.99,Everyone,Medical,nan,2014-10-22,2.0.2,4.0
Pocket Lab Values,MEDICAL,4,214,899000,10000,False,2.99,Everyone,Medical,nan,2012-11-22,2.5,2.1
Medical terms (OFFLINE),MEDICAL,4,104,38000000,1000,False,2.99,Teen,Medical,nan,2018-05-24,3.2.0,4.1
"Cardiac diagnosis (heart rate, arrhythmia)",MEDICAL,4,8,6500000,100,False,12.99,Everyone,Medical,nan,2018-07-25,7,3.0
ERres- Emergency Medicine,MEDICAL,4,45,14000000,1000,False,4.99,Everyone,Medical,nan,2015-08-18,6.0,4.0
FHR 5-Tier 2.0,MEDICAL,5,2,1200000,500,False,2.99,Everyone,Medical,nan,2015-12-16,1.0,4.0
AnatomyMapp,MEDICAL,4,80,48000000,5000,False,14.99,Everyone,Medical,nan,2013-05-11,1.0,3.0
OptoDrum,MEDICAL,3,10,378000,1000,False,5.99,Everyone,Medical,nan,2015-05-26,1.0,3.0
"Migraine, Headache Diary HeadApp Pro",MEDICAL,4,156,22000000,500,False,3.49,Everyone,Medical,nan,2018-03-14,1.10.0.user.pro.release,4.4
Blood Pressure Companion,MEDICAL,4,178,4800000,1000,False,0.99,Everyone,Medical,nan,2018-07-22,4.1.5 (Steglitz),4.1
"Muscle Premium - Human Anatomy, Kinesiology, Bones",MEDICAL,4,168,25000000,10000,False,24.99,Everyone,Medical,nan,2017-11-08,7.1.17,4.4
CCHT PREP,MEDICAL,3,25,266000,1000,False,10.99,Everyone,Medical,nan,2016-08-12,1.2,2.1
Paramedic Meds,MEDICAL,4,163,375000,10000,False,1.99,Everyone,Medical,nan,2015-03-08,3.4.3,1.6
OmniMedix Medical Calculator,MEDICAL,4,25,1200000,1000,False,4.99,Everyone,Medical,nan,2016-11-06,3.1.6,3.0
Lab Values + Medical Reference,MEDICAL,4,133,2800000,10000,False,2.99,Everyone,Medical,nan,2014-02-08,3.0,2.3
Recognise Foot,MEDICAL,4,9,95000000,1000,False,7.49,Everyone,Medical,nan,2017-09-14,1.0.3,4.1
Anti Mosquito simulation,MEDICAL,4,74,2600000,1000,False,1.5,Everyone,Medical,nan,2014-06-09,1.0,2.3.3
Pain Tracker & Diary,MEDICAL,4,3,4600000,100,False,2.99,Everyone,Medical,nan,2018-02-01,1.50,4.1
Whist - Tinnitus Relief,MEDICAL,4,12,5100000,1000,False,1.99,Everyone,Medical,nan,2017-02-03,1.2,4.1
Critical Care Paramedic Review,MEDICAL,4,17,1800000,1000,False,9.99,Everyone 10+,Medical,nan,2018-05-14,2.0.5,4.4W
"End Anxiety Pro - Stress, Panic Attack Help",MEDICAL,4,33,53000000,1000,False,3.99,Everyone,Medical,nan,2018-08-05,2.29,4.2
Acupuncture Assistant,MEDICAL,4,492,39000000,10000,False,7.99,Everyone,Medical,nan,2018-04-13,4.4.5,4.1
InfantRisk Center HCP,MEDICAL,2,41,14000000,1000,False,9.99,Everyone,Medical,nan,2015-06-05,1.3.4,2.3.3
EMT Tutor NREMT-B Study Guide,MEDICAL,4,625,8400000,10000,False,3.99,Everyone,Medical,nan,2017-08-01,2.1,2.1
Hospitalist Handbook,MEDICAL,4,12,18000000,1000,False,19.99,Everyone,Medical,nan,2017-05-06,6.0.4,4.1
PTA Content Master,MEDICAL,4,64,41000000,1000,False,29.99,Everyone,Medical,nan,2015-12-22,2.1,2.2
Navi Radiography Pro,MEDICAL,4,11,100000000,500,False,15.99,Everyone,Medical,nan,2018-01-14,1.2.0,4.0.3
Nursing Care Plan NANDA Tables,MEDICAL,3,4,3400000,500,False,0.99,Everyone,Medical,nan,2017-09-05,1.0,2.3.3
A Manual of Acupuncture,MEDICAL,3,214,68000000,1000,False,33.99,Everyone,Medical,nan,2017-02-10,2.1.35,4.0
palmPEDi: Pediatric Tape,MEDICAL,4,66,2600000,5000,False,0.99,Everyone,Medical,nan,2013-02-12,4.1,3.2
GoodRx Drug Prices and Coupons,MEDICAL,4,59158,11000000,1000000,True,0.0,Everyone,Medical,nan,2018-07-26,5.4.8,4.1
FollowMyHealth®,MEDICAL,4,73118,37000000,1000000,True,0.0,Everyone,Medical,nan,2018-10-05,3.3,4.4
Ovia Pregnancy Tracker & Baby Countdown Calendar,MEDICAL,4,102858,9800000,1000000,True,0.0,Everyone,Medical,nan,2018-03-08,2.2.4,4.3
Teladoc Member,MEDICAL,4,2094,23000000,500000,True,0.0,Everyone,Medical,nan,2018-07-26,3.19,4.3
myAir™ for Air10™ by ResMed,MEDICAL,3,236,18000000,50000,True,0.0,Everyone,Medical,nan,2018-07-25,1.1.0.0.1487,5.0
Blood Pressure,MEDICAL,4,33033,7400000,5000000,True,0.0,Everyone,Medical,nan,2018-07-24,3.27.3,4.1
Pregnancy Week By Week,MEDICAL,4,78825,11000000,1000000,True,0.0,Everyone,Medical,nan,2018-02-08,1.2.16,4.1
BioLife Plasma Services,MEDICAL,3,250,23000000,100000,True,0.0,Everyone,Medical,nan,2018-09-07,1.2.0,4.4
OneTouch Reveal,MEDICAL,3,6266,34000000,500000,True,0.0,Everyone,Medical,nan,2018-05-22,3.5,5.1
Anthem Anywhere,MEDICAL,2,2657,24000000,500000,True,0.0,Everyone,Medical,nan,2018-07-27,8.0.226,4.4
Blood Donor,MEDICAL,4,4476,20000000,500000,True,0.0,Everyone,Medical,nan,2018-07-31,1.6.2,4.1
My Calendar - Period Tracker,MEDICAL,4,156410,14000000,5000000,True,0.0,Everyone,Medical,nan,2018-03-08,5.9.6,4.1
Youper - AI Therapy,MEDICAL,4,2006,69000000,50000,True,0.0,Everyone,Medical,nan,2018-03-08,6.02.000,6.0
Zocdoc: Find Doctors & Book Appointments,MEDICAL,4,6099,38000000,500000,True,0.0,Everyone,Medical,nan,2018-07-31,3.18.2,4.3
