,App,Category,Rating,Reviews,Size,Installs,Free,Price,Content Rating,Genres_1,Genres_2,Last Updated,Current Ver,Android Ver
513,English with Lingualeo,EDUCATION,4,254519,27000000,5000000,TRUE,0,Everyone,Education,nan,2018-07-20 00:00:00,2.8.1,4.1
514,Khan Academy,EDUCATION,4,85375,21000000,5000000,TRUE,0,Everyone,Education,nan,2018-07-27 00:00:00,5.0.0,4.1
515,TED,EDUCATION,4,181893,18000000,10000000,TRUE,0,Everyone 10+,Education,nan,2018-07-27 00:00:00,3.2.5,4.1
516,Udemy - Online Courses,EDUCATION,4,99020,18000000,1000000,TRUE,0,Everyone,Education,nan,2018-02-08 00:00:00,5.0.4,5.0
517,"edX - Online Courses by Harvard, MIT & more",EDUCATION,4,32381,10000000,1000000,TRUE,0,Everyone 10+,Education,nan,2018-07-15 00:00:00,2.15.1,4.1
518,Memorado - Brain Games,EDUCATION,4,56897,97000000,1000000,TRUE,0,Everyone,Education,Brain Games,2017-01-16 00:00:00,1.10.0,4.1
519,Lynda - Online Training Videos,EDUCATION,4,8599,17000000,1000000,TRUE,0,Everyone,Education,nan,2018-11-07 00:00:00,4.9.10,4.1
520,Quiz&Learn Python,EDUCATION,4,304,2000000,10000,TRUE,0,Everyone,Education,nan,2016-04-07 00:00:00,1.3.0,4.0
521,C++ Tutorials,EDUCATION,4,358,1900000,50000,TRUE,0,Everyone,Education,nan,2014-08-21 00:00:00,1.1,2.3
522,C++ Programming,EDUCATION,4,11904,1800000,1000000,TRUE,0,Everyone,Education,nan,2015-08-22 00:00:00,2.0,2.3
523,C Programming,EDUCATION,4,22251,1800000,1000000,TRUE,0,Everyone,Education,nan,2015-06-28 00:00:00,3.0,2.3
524,Udacity - Lifelong Learning,EDUCATION,4,22384,17000000,1000000,TRUE,0,Everyone,Education,nan,2018-07-31 00:00:00,4.7.0,5.0
525,Udemy - Online Courses,EDUCATION,4,99020,18000000,1000000,TRUE,0,Everyone,Education,nan,2018-02-08 00:00:00,5.0.4,5.0
526,Learn C++,EDUCATION,4,73404,5300000,1000000,TRUE,0,Everyone,Education,nan,2017-12-25 00:00:00,4.5.2,4.0
527,Learn JavaScript,EDUCATION,4,25183,5400000,1000000,TRUE,0,Everyone,Education,nan,2017-12-25 00:00:00,5.7.2,4.0
528,Learn Java,EDUCATION,4,52743,5400000,1000000,TRUE,0,Everyone,Education,nan,2017-12-25 00:00:00,3.5.2,4.0
529,Learn HTML,EDUCATION,4,61749,5400000,1000000,TRUE,0,Everyone,Education,nan,2017-12-25 00:00:00,5.5.2,4.0
530,"Programming Hub, Learn to code",EDUCATION,4,55704,15000000,1000000,TRUE,0,Everyone,Education,nan,2018-04-08 00:00:00,4.2.8,4.1
531,Learn SQL,EDUCATION,4,19277,5300000,1000000,TRUE,0,Everyone,Education,nan,2017-12-25 00:00:00,3.4.2,4.0
532,Ready4 SAT (Prep4 SAT),EDUCATION,4,13612,48000000,100000,TRUE,0,Everyone,Education,nan,2018-10-05 00:00:00,7.2.3633,4.4
533,Socratic - Math Answers & Homework Help,EDUCATION,4,37862,5400000,1000000,TRUE,0,Everyone,Education,nan,2018-07-06 00:00:00,1.8.1,4.1
534,Ready4 GMAT (Prep4 GMAT),EDUCATION,4,18372,47000000,100000,TRUE,0,Everyone,Education,nan,2018-05-21 00:00:00,7.2.3634,4.4
535,Pocket GMAT Math,EDUCATION,4,656,556000,10000,TRUE,0,Everyone,Education,nan,2014-11-07 00:00:00,1.1,2.2
536,GMAT Question Bank,EDUCATION,4,240,29000000,10000,TRUE,0,Everyone,Education,nan,2015-04-29 00:00:00,1.2.0,2.3.3
537,GRE Tutor,EDUCATION,4,275,2300000,50000,TRUE,0,Everyone,Education,nan,2013-02-12 00:00:00,2.9,2.1
538,"play2prep: ACT, SAT prep",EDUCATION,4,3692,4400000,100000,TRUE,0,Everyone,Education,nan,2015-07-23 00:00:00,4.1.3,2.3.3
539,SAT Test,EDUCATION,4,2363,6600000,100000,TRUE,0,Everyone,Education,nan,2016-11-17 00:00:00,2.48,4.0
540,Pocket SAT Math,EDUCATION,4,430,526000,10000,TRUE,0,Everyone,Education,nan,2014-11-07 00:00:00,1.2,2.1
541,TOEFL Prep & Practice from Magoosh,EDUCATION,4,756,12000000,100000,TRUE,0,Everyone,Education,nan,2018-06-18 00:00:00,3.2.0,4.1
542,GRE® Flashcards by Kaplan,EDUCATION,4,316,29000000,50000,TRUE,0,Everyone,Education,nan,2017-02-15 00:00:00,1.4,4.0
543,Khan Academy,EDUCATION,4,85375,21000000,5000000,TRUE,0,Everyone,Education,nan,2018-07-27 00:00:00,5.0.0,4.1
544,TED,EDUCATION,4,181893,18000000,10000000,TRUE,0,Everyone 10+,Education,nan,2018-07-27 00:00:00,3.2.5,4.1
545,Udemy - Online Courses,EDUCATION,4,99020,18000000,1000000,TRUE,0,Everyone,Education,nan,2018-02-08 00:00:00,5.0.4,5.0
546,Udacity - Lifelong Learning,EDUCATION,4,22384,17000000,1000000,TRUE,0,Everyone,Education,nan,2018-07-31 00:00:00,4.7.0,5.0
547,"edX - Online Courses by Harvard, MIT & more",EDUCATION,4,32380,10000000,1000000,TRUE,0,Everyone 10+,Education,nan,2018-07-15 00:00:00,2.15.1,4.1
548,Rosetta Stone: Learn to Speak & Read New Languages,EDUCATION,4,172505,76000000,5000000,TRUE,0,Everyone,Education,Education,2018-06-27 00:00:00,5.2.1,5.0
549,Lynda - Online Training Videos,EDUCATION,4,8599,17000000,1000000,TRUE,0,Everyone,Education,nan,2018-11-07 00:00:00,4.9.10,4.1
550,LinkedIn Learning: Online Courses to Learn Skills,EDUCATION,4,7973,18000000,1000000,TRUE,0,Everyone,Education,nan,2018-07-27 00:00:00,0.29.74,4.4
551,Babbel – Learn Languages,EDUCATION,4,266935,21000000,10000000,TRUE,0,Everyone,Education,nan,2018-07-30 00:00:00,20.7.2,4.4
552,Free english course,EDUCATION,4,142632,6900000,5000000,TRUE,0,Everyone,Education,nan,2018-12-07 00:00:00,2.8,4.1
553,Learn 50 languages,EDUCATION,4,55256,14000000,5000000,TRUE,0,Everyone,Education,nan,2018-06-19 00:00:00,10.9.1,4.0
554,Rosetta Stone: Learn to Speak & Read New Languages,EDUCATION,4,172508,76000000,5000000,TRUE,0,Everyone,Education,Education,2018-06-27 00:00:00,5.2.1,5.0
555,Babbel – Learn Spanish,EDUCATION,4,54798,11000000,1000000,TRUE,0,Everyone,Education,nan,2018-07-30 00:00:00,20.7.2,4.4
556,Mango Languages: Lovable Language Courses,EDUCATION,4,4815,19000000,500000,TRUE,0,Everyone,Education,nan,2018-07-17 00:00:00,4.2.3,4.2
557,Learn English with Aco,EDUCATION,4,75112,6500000,1000000,TRUE,0,Everyone,Education,nan,2017-11-11 00:00:00,2.09,4.1
558,Learn to Speak English,EDUCATION,4,33646,7000000,1000000,TRUE,0,Everyone,Education,nan,2018-07-15 00:00:00,2.3.9,4.0
559,Learn English with Wlingua,EDUCATION,4,314300,3300000,10000000,TRUE,0,Everyone,Education,nan,2018-02-05 00:00:00,1.94.9,4.0
560,"busuu: Learn Languages - Spanish, English & More",EDUCATION,4,206527,21000000,10000000,TRUE,0,Everyone 10+,Education,nan,2018-01-08 00:00:00,13.9.0.161,5.0
561,Study Checker,EDUCATION,4,3816,2600000,500000,TRUE,0,Everyone,Education,nan,2016-04-05 00:00:00,3.6.0.115_FN,2.3
562,My Study Life - School Planner,EDUCATION,4,47847,21000000,1000000,TRUE,0,Everyone,Education,nan,2017-06-13 00:00:00,6.1.3,4.0.3
563,HomeWork,EDUCATION,4,16195,5200000,1000000,TRUE,0,Everyone,Education,nan,2016-09-20 00:00:00,8.5.2,4.0
564,Next Gen Science Standards,EDUCATION,4,206,18000000,50000,TRUE,0,Everyone,Education,nan,2016-12-20 00:00:00,1.12.1,2.3
565,Teacher's Gradebook - Additio,EDUCATION,4,3241,16000000,100000,TRUE,0,Everyone,Education,nan,2018-01-08 00:00:00,4.8.2,4.0.3
566,Common Core,EDUCATION,4,835,15000000,100000,TRUE,0,Everyone,Education,nan,2016-12-20 00:00:00,2.3.1,2.3
567,Homework Planner,EDUCATION,4,2525,1200000,100000,TRUE,0,Everyone,Education,nan,2015-11-01 00:00:00,15.9.4,4.0
568,Edmodo,EDUCATION,4,200058,18000000,10000000,TRUE,0,Everyone,Education,nan,2018-07-20 00:00:00,9.12.5,4.0.3
569,Socrative Teacher,EDUCATION,3,1239,1800000,100000,TRUE,0,Everyone,Education,nan,2016-07-29 00:00:00,4.4.1,3.2
570,Training schedule - AllUniver,EDUCATION,4,702,7600000,10000,TRUE,0,Everyone,Education,nan,2017-10-16 00:00:00,5.0,4.4
571,ClassDojo,EDUCATION,4,148550,59000000,10000000,TRUE,0,Everyone,Education,Education,2018-03-08 00:00:00,4.21.1,4.1
572,Lerni. Learn languages.,EDUCATION,4,3847,6900000,500000,TRUE,0,Everyone,Education,nan,2017-10-25 00:00:00,3.1.3,3.0
573,Learn 50 languages,EDUCATION,4,55256,14000000,5000000,TRUE,0,Everyone,Education,nan,2018-06-19 00:00:00,10.9.1,4.0
574,"HelloTalk — Chat, Speak & Learn Foreign Languages",EDUCATION,4,84309,41000000,5000000,TRUE,0,Everyone,Education,nan,2018-07-25 00:00:00,2.6.6,4.1
575,Mango Languages: Lovable Language Courses,EDUCATION,4,4815,19000000,500000,TRUE,0,Everyone,Education,nan,2018-07-17 00:00:00,4.2.3,4.2
576,Rosetta Stone: Learn to Speak & Read New Languages,EDUCATION,4,172508,76000000,5000000,TRUE,0,Everyone,Education,Education,2018-06-27 00:00:00,5.2.1,5.0
577,Babbel – Learn Languages,EDUCATION,4,266948,21000000,10000000,TRUE,0,Everyone,Education,nan,2018-07-30 00:00:00,20.7.2,4.4
578,Innovative: Learn 34 Languages,EDUCATION,4,14206,21000000,500000,TRUE,0,Everyone,Education,nan,2018-07-26 00:00:00,1.16,3.0
579,"busuu: Learn Languages - Spanish, English & More",EDUCATION,4,206532,21000000,10000000,TRUE,0,Everyone 10+,Education,nan,2018-01-08 00:00:00,13.9.0.161,5.0
580,Chegg Study - Homework Help,EDUCATION,4,14700,21000000,1000000,TRUE,0,Everyone,Education,nan,2018-07-30 00:00:00,5.7.0,4.4
581,Socratic - Math Answers & Homework Help,EDUCATION,4,37862,5400000,1000000,TRUE,0,Everyone,Education,nan,2018-07-06 00:00:00,1.8.1,4.1
582,EasyBib: Citation Generator,EDUCATION,3,1405,7300000,100000,TRUE,0,Everyone,Education,nan,2018-03-29 00:00:00,2.4.4,4.0
583,ClassDojo,EDUCATION,4,148549,59000000,10000000,TRUE,0,Everyone,Education,Education,2018-03-08 00:00:00,4.21.1,4.1
584,"HelloTalk — Chat, Speak & Learn Foreign Languages",EDUCATION,4,84311,41000000,5000000,TRUE,0,Everyone,Education,nan,2018-07-25 00:00:00,2.6.6,4.1
585,"busuu: Learn Languages - Spanish, English & More",EDUCATION,4,206532,21000000,10000000,TRUE,0,Everyone 10+,Education,nan,2018-01-08 00:00:00,13.9.0.161,5.0
586,Rosetta Stone: Learn to Speak & Read New Languages,EDUCATION,4,172508,76000000,5000000,TRUE,0,Everyone,Education,Education,2018-06-27 00:00:00,5.2.1,5.0
587,SoloLearn: Learn to Code for Free,EDUCATION,4,256079,7600000,1000000,TRUE,0,Teen,Education,nan,2018-12-07 00:00:00,2.2.4,4.0.3
588,Blinkist - Nonfiction Books,EDUCATION,4,16103,13000000,1000000,TRUE,0,Everyone,Education,nan,2018-07-31 00:00:00,5.7.1,4.1
589,Sago Mini Hat Maker,EDUCATION,4,11,63000000,1000,FALSE,3.99,Everyone,Education,Pretend Play,2017-07-24 00:00:00,1.0,4.0.3
590,Fuzzy Numbers: Pre-K Number Foundation,EDUCATION,4,21,44000000,1000,FALSE,5.99,Everyone,Education,Education,2017-07-21 00:00:00,1.3,4.1
591,Toca Life: City,EDUCATION,4,31085,24000000,500000,FALSE,3.99,Everyone,Education,Pretend Play,2018-06-07 00:00:00,1.5-play,4.4
592,Toca Life: Hospital,EDUCATION,4,3528,24000000,100000,FALSE,3.99,Everyone,Education,Pretend Play,2018-12-06 00:00:00,1.1.1-play,4.4
593,Complete Spanish Movies,ENTERTAINMENT,4,11656,4500000,1000000,TRUE,0,Everyone,Entertainment,nan,2018-01-20 00:00:00,1.02,4.0.3
594,Tubi TV - Free Movies & TV,ENTERTAINMENT,4,296771,11000000,10000000,TRUE,0,Teen,Entertainment,nan,2018-07-15 00:00:00,2.13.5,4.1
595,Mobile TV,ENTERTAINMENT,3,10939,4600000,10000000,TRUE,0,Everyone,Entertainment,nan,2016-04-28 00:00:00,2.05.0010,5.0
596,Motorola Spotlight Player™,ENTERTAINMENT,4,22508,3300000,10000000,TRUE,0,Everyone,Entertainment,nan,2015-07-16 00:00:00,v1.8b22p13,4.2
597,Vigo Lite,ENTERTAINMENT,4,10291,6500000,5000000,TRUE,0,Teen,Entertainment,nan,2018-04-08 00:00:00,3.7.3,4.0.3
598,The green alien dance,ENTERTAINMENT,3,6979,12000000,1000000,TRUE,0,Everyone,Entertainment,nan,2018-05-07 00:00:00,1.03,4.0
599,H TV,ENTERTAINMENT,4,103078,5600000,5000000,TRUE,0,Everyone,Entertainment,nan,2018-05-07 00:00:00,4.6.2,2.3.3
600,StarTimes - Live International Champions Cup,ENTERTAINMENT,4,17682,9700000,1000000,TRUE,0,Everyone,Entertainment,nan,2018-03-08 00:00:00,5.2,4.0.3
601,Cinematic Cinematic,ENTERTAINMENT,4,37000,15000000,1000000,TRUE,0,Mature 17+,Entertainment,nan,2018-06-21 00:00:00,4.0.5,4.1
602,Talking Angela,ENTERTAINMENT,3,1828284,52000000,100000000,TRUE,0,Everyone,Entertainment,nan,2018-12-07 00:00:00,2.8.2,4.1
603,Radio Javan,ENTERTAINMENT,4,46916,4500000,1000000,TRUE,0,Everyone,Entertainment,nan,2018-07-18 00:00:00,7.3,4.2
604,Talking Ginger 2,ENTERTAINMENT,4,702975,49000000,50000000,TRUE,0,Everyone,Entertainment,nan,2018-05-07 00:00:00,2.6.6.11,4.1
605,Girly Lock Screen Wallpaper with Quotes,ENTERTAINMENT,4,32458,18000000,5000000,TRUE,0,Everyone,Entertainment,nan,2018-06-19 00:00:00,2.2,4.1
606,No.Draw - Colors by Number 2018,ENTERTAINMENT,4,235496,13000000,10000000,TRUE,0,Everyone,Entertainment,Brain Games,2018-07-29 00:00:00,1.2.0,4.1
607,🔥 Football Wallpapers 4K | Full HD Backgrounds 😍,ENTERTAINMENT,4,11661,4000000,1000000,TRUE,0,Everyone,Entertainment,nan,2018-07-14 00:00:00,1.1.3.2,4.0.3
608,"Movies by Flixster, with Rotten Tomatoes",ENTERTAINMENT,4,653008,16000000,10000000,TRUE,0,Everyone,Entertainment,nan,2018-06-20 00:00:00,9.1.4,4.4
609,Low Poly – Puzzle art game,ENTERTAINMENT,4,23063,17000000,1000000,TRUE,0,Everyone,Entertainment,Brain Games,2018-03-08 00:00:00,1.0.9,4.1
610,Amazon Prime Video,ENTERTAINMENT,4,411683,24000000,50000000,TRUE,0,Teen,Entertainment,nan,2018-02-08 00:00:00,3.0.231.18141,4.1
611,Ziggo GO,ENTERTAINMENT,4,29690,78000000,1000000,TRUE,0,Teen,Entertainment,nan,2018-03-08 00:00:00,2.3.34 Prod,4.3
612,PlayStation App,ENTERTAINMENT,4,613059,25000000,50000000,TRUE,0,Everyone,Entertainment,nan,2018-07-26 00:00:00,18.07.0,4.1
613,Talking Ben the Dog,ENTERTAINMENT,4,1633682,57000000,100000000,TRUE,0,Everyone,Entertainment,nan,2018-03-07 00:00:00,3.5.2.2,4.1
614,Trailer Addict Movie Trailers,ENTERTAINMENT,3,2646,9100000,100000,TRUE,0,Teen,Entertainment,nan,2018-02-14 00:00:00,2.2.0,4.2
615,Cinemark Theatres,ENTERTAINMENT,4,21867,39000000,1000000,TRUE,0,Teen,Entertainment,nan,2018-12-07 00:00:00,2.19.0,5.0
616,"Movies by Flixster, with Rotten Tomatoes",ENTERTAINMENT,4,653008,16000000,10000000,TRUE,0,Everyone,Entertainment,nan,2018-06-20 00:00:00,9.1.4,4.4
617,Marcus Theatres,ENTERTAINMENT,3,2639,8500000,100000,TRUE,0,Everyone,Entertainment,nan,2018-07-02 00:00:00,2.9.43,6.0
618,Harkins Theatres,ENTERTAINMENT,4,1511,12000000,100000,TRUE,0,Everyone,Entertainment,nan,2018-11-06 00:00:00,2.1.1,4.1
619,AMC Theatres,ENTERTAINMENT,4,44550,72000000,1000000,TRUE,0,Everyone,Entertainment,nan,2018-07-18 00:00:00,6.18.3,5.0
620,Animal Planet GO,ENTERTAINMENT,4,2442,9600000,100000,TRUE,0,Teen,Entertainment,nan,2018-07-24 00:00:00,2.9.4,4.1
621,DramaFever: Stream Asian Drama Shows & Movies,ENTERTAINMENT,4,155234,22000000,1000000,TRUE,0,Teen,Entertainment,nan,2018-01-08 00:00:00,01.01.66,4.4
622,Investigation Discovery GO,ENTERTAINMENT,4,12216,13000000,1000000,TRUE,0,Teen,Entertainment,nan,2018-07-24 00:00:00,2.9.4,4.1
623,CBS - Full Episodes & Live TV,ENTERTAINMENT,3,92058,12000000,10000000,TRUE,0,Teen,Entertainment,nan,2018-07-20 00:00:00,4.8.6,4.1
624,Acorn TV: World-class TV from Britain and Beyond,ENTERTAINMENT,3,493,23000000,50000,TRUE,0,Everyone,Entertainment,nan,2018-06-15 00:00:00,2.0.0,4.4
625,HISTORY: Watch TV Show Full Episodes & Specials,ENTERTAINMENT,4,33387,20000000,1000000,TRUE,0,Teen,Entertainment,nan,2018-07-16 00:00:00,3.1.4,4.4
626,Nick,ENTERTAINMENT,4,123279,25000000,10000000,TRUE,0,Everyone 10+,Entertainment,Music & Video,2018-01-24 00:00:00,2.0.8,4.4
627,VH1,ENTERTAINMENT,4,27424,17000000,1000000,TRUE,0,Teen,Entertainment,nan,2018-08-07 00:00:00,11.45.0,4.4
628,A&E - Watch Full Episodes of TV Shows,ENTERTAINMENT,4,29706,19000000,1000000,TRUE,0,Teen,Entertainment,nan,2018-07-16 00:00:00,3.1.4,4.4
629,The CW,ENTERTAINMENT,4,288150,21000000,5000000,TRUE,0,Teen,Entertainment,nan,2018-07-23 00:00:00,2.17,4.4
630,BET NOW - Watch Shows,ENTERTAINMENT,4,14807,19000000,1000000,TRUE,0,Teen,Entertainment,nan,2018-08-07 00:00:00,11.45.0,4.4
631,Lifetime - Watch Full Episodes & Original Movies,ENTERTAINMENT,4,35928,19000000,1000000,TRUE,0,Teen,Entertainment,nan,2018-07-16 00:00:00,3.1.4,4.4
632,SeriesGuide – Show & Movie Manager,ENTERTAINMENT,4,64448,4400000,1000000,TRUE,0,Mature 17+,Entertainment,nan,2018-07-21 00:00:00,43,4.0.3
633,Comedy Central,ENTERTAINMENT,3,22378,19000000,1000000,TRUE,0,Teen,Entertainment,nan,2018-08-07 00:00:00,11.45.0,4.4
634,Tubi TV - Free Movies & TV,ENTERTAINMENT,4,296829,11000000,10000000,TRUE,0,Teen,Entertainment,nan,2018-07-15 00:00:00,2.13.5,4.1
635,CBS - Full Episodes & Live TV,ENTERTAINMENT,3,92058,12000000,10000000,TRUE,0,Teen,Entertainment,nan,2018-07-20 00:00:00,4.8.6,4.1
636,Nick,ENTERTAINMENT,4,123279,25000000,10000000,TRUE,0,Everyone 10+,Entertainment,Music & Video,2018-01-24 00:00:00,2.0.8,4.4
637,The CW,ENTERTAINMENT,4,288150,21000000,5000000,TRUE,0,Teen,Entertainment,nan,2018-07-23 00:00:00,2.17,4.4
638,CW Seed,ENTERTAINMENT,4,16372,13000000,500000,TRUE,0,Teen,Entertainment,nan,2018-07-18 00:00:00,1.16,4.4
639,The NBC App - Watch Live TV and Full Episodes,ENTERTAINMENT,4,58028,17000000,5000000,TRUE,0,Teen,Entertainment,nan,2018-05-07 00:00:00,4.18.1,4.1
640,HISTORY: Watch TV Show Full Episodes & Specials,ENTERTAINMENT,4,33387,20000000,1000000,TRUE,0,Teen,Entertainment,nan,2018-07-16 00:00:00,3.1.4,4.4
641,WWE,ENTERTAINMENT,4,736864,20000000,10000000,TRUE,0,Teen,Entertainment,nan,2018-01-19 00:00:00,3.17.2,4.1
642,A&E - Watch Full Episodes of TV Shows,ENTERTAINMENT,4,29706,19000000,1000000,TRUE,0,Teen,Entertainment,nan,2018-07-16 00:00:00,3.1.4,4.4
643,VH1,ENTERTAINMENT,4,27424,17000000,1000000,TRUE,0,Teen,Entertainment,nan,2018-08-07 00:00:00,11.45.0,4.4
644,Universal Kids,ENTERTAINMENT,3,1968,21000000,500000,TRUE,0,Everyone,Entertainment,Music & Video,2018-05-24 00:00:00,3.3.1.41,4.4
645,MTV,ENTERTAINMENT,3,35279,15000000,1000000,TRUE,0,Teen,Entertainment,nan,2018-08-07 00:00:00,11.45.0,4.4
646,Lifetime - Watch Full Episodes & Original Movies,ENTERTAINMENT,4,35931,19000000,1000000,TRUE,0,Teen,Entertainment,nan,2018-07-16 00:00:00,3.1.4,4.4
647,BET NOW - Watch Shows,ENTERTAINMENT,4,14807,19000000,1000000,TRUE,0,Teen,Entertainment,nan,2018-08-07 00:00:00,11.45.0,4.4
648,LEGO® TV,ENTERTAINMENT,3,17247,7200000,1000000,TRUE,0,Everyone 10+,Entertainment,Music & Video,2018-04-08 00:00:00,4.0.2,5.0
649,HBO GO: Stream with TV Package,ENTERTAINMENT,3,87723,32000000,10000000,TRUE,0,Teen,Entertainment,nan,2018-07-19 00:00:00,16.0.0.437,4.1
650,FOX,ENTERTAINMENT,3,197774,44000000,10000000,TRUE,0,Mature 17+,Entertainment,nan,2018-06-25 00:00:00,6.6.1,4.4
651,Telemundo Now,ENTERTAINMENT,3,8674,19000000,1000000,TRUE,0,Teen,Entertainment,nan,2018-05-25 00:00:00,3.3.1.42,4.4
652,Tubi TV - Free Movies & TV,ENTERTAINMENT,4,296771,11000000,10000000,TRUE,0,Teen,Entertainment,nan,2018-07-15 00:00:00,2.13.5,4.1
653,Nick,ENTERTAINMENT,4,123279,25000000,10000000,TRUE,0,Everyone 10+,Entertainment,Music & Video,2018-01-24 00:00:00,2.0.8,4.4
654,"Movies by Flixster, with Rotten Tomatoes",ENTERTAINMENT,4,653008,16000000,10000000,TRUE,0,Everyone,Entertainment,nan,2018-06-20 00:00:00,9.1.4,4.4
655,HISTORY: Watch TV Show Full Episodes & Specials,ENTERTAINMENT,4,33387,20000000,1000000,TRUE,0,Teen,Entertainment,nan,2018-07-16 00:00:00,3.1.4,4.4
656,The CW,ENTERTAINMENT,4,288150,21000000,5000000,TRUE,0,Teen,Entertainment,nan,2018-07-23 00:00:00,2.17,4.4
657,Redbox,ENTERTAINMENT,4,115033,30000000,10000000,TRUE,0,Everyone,Entertainment,nan,2018-02-07 00:00:00,7.5.0,5.0
658,Tribeca Shortlist - Handpicked Movies,ENTERTAINMENT,3,801,57000000,100000,TRUE,0,Teen,Entertainment,nan,2018-03-21 00:00:00,4.003.1,4.3
659,A&E - Watch Full Episodes of TV Shows,ENTERTAINMENT,4,29706,19000000,1000000,TRUE,0,Teen,Entertainment,nan,2018-07-16 00:00:00,3.1.4,4.4
660,VH1,ENTERTAINMENT,4,27424,17000000,1000000,TRUE,0,Teen,Entertainment,nan,2018-08-07 00:00:00,11.45.0,4.4
661,MTV,ENTERTAINMENT,3,35279,15000000,1000000,TRUE,0,Teen,Entertainment,nan,2018-08-07 00:00:00,11.45.0,4.4
662,Lifetime - Watch Full Episodes & Original Movies,ENTERTAINMENT,4,35931,19000000,1000000,TRUE,0,Teen,Entertainment,nan,2018-07-16 00:00:00,3.1.4,4.4
663,Comedy Central,ENTERTAINMENT,3,22378,19000000,1000000,TRUE,0,Teen,Entertainment,nan,2018-08-07 00:00:00,11.45.0,4.4
664,BET NOW - Watch Shows,ENTERTAINMENT,4,14807,19000000,1000000,TRUE,0,Teen,Entertainment,nan,2018-08-07 00:00:00,11.45.0,4.4
665,FOX,ENTERTAINMENT,3,197774,44000000,10000000,TRUE,0,Mature 17+,Entertainment,nan,2018-06-25 00:00:00,6.6.1,4.4
666,Telemundo Now,ENTERTAINMENT,3,8674,19000000,1000000,TRUE,0,Teen,Entertainment,nan,2018-05-25 00:00:00,3.3.1.42,4.4
667,Nick Jr. - Shows & Games,ENTERTAINMENT,4,8968,35000000,1000000,TRUE,0,Everyone,Entertainment,Music & Video,2018-01-23 00:00:00,1.0.20,4.4
668,Sticker Market: Emoji keyboard,ENTERTAINMENT,4,303,44000000,10000,TRUE,0,Teen,Entertainment,nan,2017-12-14 00:00:00,1.2.3,4.2
669,Laugh Out Loud by Kevin Hart,ENTERTAINMENT,4,1856,20000000,100000,TRUE,0,Teen,Entertainment,nan,2018-01-08 00:00:00,1.6.1,6.0
670,ColorFul - Adult Coloring Book,ENTERTAINMENT,4,50725,19000000,5000000,TRUE,0,Everyone,Entertainment,nan,2018-05-25 00:00:00,1.0.64,4.0.3
671,Nick,ENTERTAINMENT,4,123279,25000000,10000000,TRUE,0,Everyone 10+,Entertainment,Music & Video,2018-01-24 00:00:00,2.0.8,4.4
672,Hamilton — The Official App,ENTERTAINMENT,4,1575,43000000,100000,TRUE,0,Everyone,Entertainment,nan,2018-07-13 00:00:00,2.3.2,5.0
673,Funny Quotes Free,ENTERTAINMENT,4,23666,3600000,1000000,TRUE,0,Teen,Entertainment,nan,2018-04-05 00:00:00,8.1,4.0
674,LOL Pics (Funny Pictures),ENTERTAINMENT,4,67554,7700000,1000000,TRUE,0,Teen,Entertainment,nan,2015-09-15 00:00:00,4.0,2.3.3
675,Meme Creator,ENTERTAINMENT,4,38769,44000000,1000000,TRUE,0,Mature 17+,Entertainment,nan,2015-09-22 00:00:00,7.2.3,2.3
676,"Imgur: Find funny GIFs, memes & watch viral videos",ENTERTAINMENT,4,160164,12000000,10000000,TRUE,0,Teen,Entertainment,nan,2018-01-08 00:00:00,4.2.0.8447,5.0
677,Meme Generator,ENTERTAINMENT,4,3771,53000000,100000,FALSE,2.99,Mature 17+,Entertainment,nan,2018-03-08 00:00:00,4.426,4.1
678,SketchBook - draw and paint,ENTERTAINMENT,4,256664,77000000,10000000,TRUE,0,Everyone,Entertainment,nan,2018-04-05 00:00:00,4.1.7,4.0.3
679,All Events in City,EVENTS,4,3782,9500000,100000,TRUE,0,Everyone,Events,nan,2018-12-06 00:00:00,8.4,4.0.3
680,Reminder,EVENTS,4,7074,6300000,500000,TRUE,0,Everyone,Events,nan,2018-06-25 00:00:00,1.57,4.1
681,Birdays - Birthday reminder,EVENTS,4,2153,5900000,50000,TRUE,0,Everyone,Events,nan,2017-12-14 00:00:00,1.5.0,4.1
682,Fever,EVENTS,4,20611,12000000,1000000,TRUE,0,Teen,Events,nan,2018-07-18 00:00:00,4.3.6,4.1
683,DroidAdmin for Android - Advice,EVENTS,4,811,2800000,10000,TRUE,0,Everyone,Events,nan,2018-05-29 00:00:00,3.8,4.0
684,"SeatGeek – Tickets to Sports, Concerts, Broadway",EVENTS,4,15558,26000000,1000000,TRUE,0,Everyone,Events,nan,2018-03-08 00:00:00,2018.07.31229,5.0
685,my4D,EVENTS,4,573,8700000,100000,TRUE,0,Everyone,Events,nan,2018-12-07 00:00:00,1.40,4.2
686,LBB - Find New & Unique Things To Do Around You,EVENTS,4,3874,14000000,100000,TRUE,0,Everyone,Events,nan,2018-07-27 00:00:00,4.0.19,4.2
687,Happy Birthday Songs Offline,EVENTS,4,464,8900000,100000,TRUE,0,Everyone,Events,nan,2017-04-12 00:00:00,1.3,4.1
688,Series Valley of the Wolves full of part,EVENTS,4,731,11000000,50000,TRUE,0,Everyone,Events,nan,2017-12-24 00:00:00,2.0,4.0
